timestamp,generation_solar,generation_wind_onshore,generation_wind_offshore,generation_hydro_run_of_river_and_poundage,generation_nuclear,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_biomass,generation_waste,generation_other
2024-12-09 12:00:00,1.5,3612.5,,1674.75,4148.5,68.0,194.75,0.0,1230.5,25.75,328.75
2024-12-09 13:00:00,0.0,3993.0,,1614.75,4150.25,54.5,176.5,0.0,1175.0,22.0,334.25
2024-12-09 14:00:00,0.0,4354.25,,1573.5,4153.25,56.0,127.0,0.0,1133.75,22.0,352.0
2024-12-09 15:00:00,0.0,4847.25,,1449.0,4155.75,56.0,123.25,0.0,1079.5,22.0,361.75
2024-12-09 16:00:00,0.0,5444.0,,1401.5,4195.5,55.5,121.5,0.0,1060.25,22.0,316.5
2024-12-09 17:00:00,0.0,5760.5,,1385.0,4214.75,55.75,120.75,0.0,1001.5,22.0,314.0
2024-12-09 18:00:00,0.0,5743.75,,1358.0,4215.25,57.0,120.0,0.0,1000.0,21.75,314.25
2024-12-09 19:00:00,0.0,5714.25,,1296.75,4218.0,56.0,120.5,0.0,968.5,22.0,318.75
2024-12-09 20:00:00,0.0,5728.75,,1220.5,4219.5,56.0,120.0,0.0,941.25,22.0,309.5
2024-12-09 21:00:00,0.0,5518.25,,1127.75,4219.0,56.0,117.5,0.0,935.0,20.75,331.25
2024-12-09 22:00:00,0.0,5017.5,,1080.75,4220.0,55.75,121.5,0.0,935.75,21.25,316.75
2024-12-09 23:00:00,0.0,5097.5,,1158.0,4221.25,55.25,123.25,0.0,927.0,22.25,333.75
2024-12-10 00:00:00,0.0,4983.5,,1180.0,4217.5,55.25,121.75,0.0,918.5,24.0,314.75
2024-12-10 01:00:00,0.0,5059.75,,1104.0,4215.0,55.75,121.5,0.0,914.75,24.0,307.5
2024-12-10 02:00:00,0.0,5104.25,,1094.25,4215.25,56.0,123.5,0.0,917.0,23.0,305.5
2024-12-10 03:00:00,0.0,5484.75,,1104.0,4215.0,55.75,124.75,0.0,913.25,22.5,300.25
2024-12-10 04:00:00,0.0,5867.5,,1155.5,4204.75,56.0,124.5,0.0,928.25,24.0,331.25
2024-12-10 05:00:00,0.0,6212.75,,1127.25,4192.0,55.75,124.25,0.0,989.25,22.75,349.25
2024-12-10 06:00:00,0.0,6213.75,,1105.0,4192.0,56.0,124.0,0.0,1000.75,22.5,322.5
2024-12-10 07:00:00,12.25,6005.0,,1148.25,4190.0,55.5,124.0,21.75,1004.5,22.25,312.5
2024-12-10 08:00:00,40.0,5834.0,,1163.0,4191.5,55.5,123.75,0.0,1052.5,21.75,297.75
2024-12-10 09:00:00,58.5,5881.0,,1186.5,4192.0,54.0,123.25,0.0,1068.0,20.25,298.0
2024-12-10 10:00:00,52.75,6004.0,,1195.5,4142.75,53.5,122.0,0.0,1066.5,21.75,294.5
2024-12-10 11:00:00,25.5,5966.75,,1205.75,4127.0,53.5,122.5,0.0,1087.75,22.75,293.5
2024-12-10 12:00:00,4.0,6106.5,,1201.75,4127.0,53.25,122.0,0.0,1092.75,23.0,301.0
2024-12-10 13:00:00,0.0,6233.0,,1240.75,4116.75,52.5,122.0,0.0,1072.5,23.0,315.5
2024-12-10 14:00:00,0.0,6298.25,,1232.5,4114.25,52.75,122.0,0.0,1061.25,21.75,309.75
2024-12-10 15:00:00,0.0,6281.5,,1222.5,4114.0,51.25,123.25,0.0,1038.25,21.0,292.0
2024-12-10 16:00:00,0.0,6407.25,,1380.25,4115.75,50.5,123.0,0.0,1037.5,22.0,292.75
2024-12-10 17:00:00,0.0,6294.25,,1427.25,4116.75,50.0,123.0,0.0,1043.0,22.0,269.5
2024-12-10 18:00:00,0.0,6488.75,,1412.25,4119.25,50.75,123.0,0.0,1055.5,22.0,263.0
2024-12-10 19:00:00,0.0,6442.5,,1280.5,4120.25,50.75,122.75,0.0,1043.75,22.0,295.75
2024-12-10 20:00:00,0.0,6466.5,,1177.0,4120.25,50.75,118.25,0.0,1038.75,20.75,278.0
2024-12-10 21:00:00,0.0,6439.25,,1086.75,4120.0,50.75,119.5,0.0,1029.25,23.25,310.5
2024-12-10 22:00:00,0.0,5907.75,,1047.25,4120.25,50.0,122.25,0.0,1027.75,23.75,303.0
